Datetime,Month,Average Fish Weight (g),Survival Rate (%),Disease Occurrence (Cases),Temperature (°C),Dissolved Oxygen (mg/L),pH,Turbidity (NTU),Month_Num,month_x,Oxygenation Interventions,Corrective Interventions,Average Temperature (°C),High Temperature (°C),Low Temperature (°C),Precipitation (inches),month_y,day,hour,oxigeno_scaled,ph,turbidez,Oxygenation Automatic,Corrective Measures,Thermal Risk Index,Low Oxygen Alert,Health Status
45350.41666666666,February,280.3105263157895,93.90526315789474,1,26.98684210526316,6.843684210526315,7.50578947368421,2.79,2.263157894736842,2.263157894736842,0,0,29.1,33.9,24.1,0.3394736842105263,2.263157894736842,20.89473684210526,3.684210526315789,8.427696611346835,0.3995708740172034,0.01677951905641802,Yes,No,Normal,Safe,Stable
45350.45833333334,February,280.7526315789474,94.07631578947368,1,27.08421052631579,6.918421052631579,7.538947368421052,2.79,2.315789473684211,2.315789473684211,0,0,29.1,33.9,24.1,0.3673684210526316,2.315789473684211,19.47368421052632,3.421052631578947,8.395511115595225,0.3995789296008946,0.01628129268135015,No,No,Normal,Safe,Stable
45350.5,February,281.1947368421053,94.24736842105263,1,27.18157894736842,6.993157894736842,7.572105263157894,2.79,2.368421052631579,2.368421052631579,0,0,29.1,33.9,24.1,0.3952631578947369,2.368421052631579,18.05263157894737,3.157894736842105,8.363325619843614,0.399586985184586,0.01578306630628227,Yes,No,Normal,Safe,Stable
45350.54166666666,February,281.6368421052632,94.41842105263157,1,27.27894736842105,7.067894736842105,7.605263157894736,2.79,2.421052631578947,2.421052631578947,0,0,29.1,33.9,24.1,0.4231578947368421,2.421052631578947,16.63157894736842,2.894736842105263,8.331140124092006,0.3995950407682772,0.01528483993121439,No,No,Normal,Safe,Stable
45350.58333333334,February,282.078947368421,94.58947368421052,1,27.37631578947369,7.142631578947368,7.638421052631578,2.79,2.473684210526316,2.473684210526316,1,0,29.1,33.9,24.1,0.4510526315789474,2.473684210526316,15.21052631578947,2.631578947368421,8.298954628340397,0.3996030963519685,0.01478661355614651,Yes,No,Normal,Safe,Stable
45350.625,February,282.521052631579,94.76052631578948,1,27.47368421052632,7.217368421052631,7.671578947368421,2.79,2.526315789473684,2.526315789473684,0,0,29.1,33.9,24.1,0.4789473684210526,2.526315789473684,13.78947368421053,2.368421052631579,8.266769132588786,0.3996111519356598,0.01428838718107863,No,No,Normal,Safe,Stable
45350.66666666666,February,282.9631578947369,94.93157894736842,1,27.57105263157895,7.292105263157895,7.704736842105263,2.79,2.578947368421053,2.578947368421053,1,1,29.1,33.9,24.1,0.506842105263158,2.578947368421053,12.36842105263158,2.105263157894737,8.234583636837176,0.3996192075193511,0.01379016080601076,Yes,No,Normal,Safe,Stable
45350.70833333334,February,283.4052631578948,95.10263157894737,1,27.66842105263158,7.366842105263157,7.737894736842105,2.79,2.631578947368421,2.631578947368421,1,0,29.1,33.9,24.1,0.5347368421052632,2.631578947368421,10.94736842105263,1.842105263157895,8.202398141085567,0.3996272631030424,0.01329193443094288,No,No,Normal,Safe,Stable
45350.75,February,283.8473684210526,95.27368421052631,1,27.76578947368421,7.441578947368421,7.771052631578947,2.79,2.684210526315789,2.684210526315789,1,0,29.1,33.9,24.1,0.5626315789473684,2.684210526315789,9.526315789473685,1.578947368421053,8.170212645333958,0.3996353186867337,0.012793708055875,Yes,No,Normal,Safe,Stable
45350.79166666666,February,284.2894736842105,95.44473684210526,1,27.86315789473684,7.516315789473683,7.804210526315789,2.79,2.736842105263158,2.736842105263158,1,0,29.1,33.9,24.1,0.5905263157894738,2.736842105263158,8.105263157894736,1.315789473684211,8.138027149582348,0.399643374270425,0.01229548168080712,No,No,Normal,Safe,Stable
45350.83333333334,February,284.7315789473684,95.6157894736842,1,27.96052631578948,7.591052631578947,7.837368421052632,2.79,2.789473684210527,2.789473684210527,1,0,29.1,33.9,24.1,0.618421052631579,2.789473684210527,6.684210526315791,1.052631578947369,8.105841653830737,0.3996514298541163,0.01179725530573925,Yes,No,Normal,Safe,Stable
45350.875,February,285.1736842105263,95.78684210526316,1,28.05789473684211,7.66578947368421,7.870526315789474,2.79,2.842105263157895,2.842105263157895,0,0,29.1,33.9,24.1,0.6463157894736842,2.842105263157895,5.263157894736842,0.7894736842105265,8.073656158079128,0.3996594854378075,0.01129902893067137,No,No,High,Safe,At Risk
45350.91666666666,February,285.6157894736842,95.95789473684211,1,28.15526315789474,7.740526315789474,7.903684210526316,2.79,2.894736842105263,2.894736842105263,1,0,29.1,33.9,24.1,0.6742105263157895,2.894736842105263,3.842105263157894,0.5263157894736841,8.041470662327519,0.3996675410214988,0.01080080255560349,Yes,No,High,Safe,At Risk
45350.95833333334,February,286.0578947368421,96.12894736842105,1,28.25263157894737,7.815263157894737,7.936842105263158,2.79,2.947368421052631,2.947368421052631,1,0,29.1,33.9,24.1,0.7021052631578948,2.947368421052631,2.421052631578949,0.2631578947368425,8.009285166575909,0.3996755966051901,0.01030257618053561,No,No,High,Safe,At Risk
45351,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,1,0,7.977099670824299,0.3996836521888814,0.009804349805467736,Yes,No,High,Safe,At Risk
45351.04166666666,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,1,1,8.304470286210815,0.2832419216840976,0.1188775345609414,No,No,High,Safe,At Risk
45351.08333333334,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,1,1,29.1,33.9,24.1,0.73,3,1,2,7.807674205773042,0.974836370721841,0.02690358307667622,Yes,No,High,Safe,At Risk
45351.125,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,1,0,29.1,33.9,24.1,0.73,3,1,3,8.173548242099777,0.1591229973894572,0.8505338386548444,No,No,High,Safe,At Risk
45351.16666666666,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,1,4,8.329387471929637,0.3483298936027726,0.9531880018034925,Yes,No,High,Safe,At Risk
